magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
1,33.1900,1,38.4700,1,20.9200,1,34.0200,1,48.2200,1,46.3000,1,29.1000
2,47.6900,2,45.4400,2,29.4700,2,41.6400,2,54.5400,2,53.2100,2,42.5800
3,49.9200,3,50.0500,3,40.1100,3,53.5500,3,55.2200,3,52.5600,3,49.2900
4,52.8900,4,51.7200,4,43.3000,4,52.2400,4,58.4600,4,59.3100,4,50.6900
5,54.6800,5,55.7300,5,44.9600,5,54.4700,5,60.6800,5,60.0400,5,51.3800
6,56.5000,6,57.9800,6,49.4600,6,58.7000,6,62.3700,6,60.5900,6,57.5100
7,56.2900,7,60.2400,7,50.9200,7,60.9800,7,60.7900,7,64.2000,7,58.1700
8,56.5400,8,60.1200,8,53.0300,8,59.0200,8,63.1900,8,61.9600,8,58.6600
9,61.1100,9,61.3500,9,53.3300,9,63.9000,9,63.5100,9,63.0200,9,59.3600
10,61.7100,10,59.6100,10,54.9700,10,62.4500,10,64.3900,10,63.8300,10,62.2600
11,60.7600,11,61.2300,11,55.6900,11,57.9800,11,66.0500,11,65.4600,11,64.1200
12,61.2900,12,63.0000,12,56.3100,12,61.3700,12,65.6100,12,65.6500,12,62.2200
13,58.4900,13,62.9200,13,55.1100,13,61.5100,13,65.5500,13,66.0300,13,61.1200
14,62.8600,14,61.6700,14,56.6300,14,61.8500,14,66.1300,14,66.5100,14,64.5300
15,58.4100,15,63.7000,15,57.2800,15,62.6200,15,66.8300,15,65.4400,15,64.7300
16,64.6500,16,62.2700,16,57.7400,16,63.4200,16,67.0000,16,67.2400,16,63.5000
17,62.8400,17,61.9600,17,56.8400,17,64.3000,17,65.3800,17,65.6400,17,64.6500
18,64.8300,18,63.7900,18,59.2100,18,63.7900,18,67.1300,18,65.7000,18,64.3000
19,59.9000,19,62.1900,19,58.7900,19,59.3300,19,65.3200,19,68.0700,19,62.6800
20,64.4300,20,62.7400,20,59.2800,20,65.0000,20,68.0000,20,67.7400,20,62.5500
21,63.5800,21,64.3300,21,59.4700,21,64.5700,21,68.2300,21,67.9600,21,65.3500
22,63.2500,22,64.2800,22,60.4600,22,61.5200,22,67.6800,22,68.3200,22,64.6100
23,63.9400,23,61.8000,23,61.4100,23,63.5300,23,68.1600,23,66.9900,23,65.6100
24,63.9900,24,61.1100,24,59.3900,24,63.7300,24,67.3000,24,68.1900,24,65.8900
25,65.5000,25,65.2200,25,61.4400,25,64.8300,25,66.7000,25,68.7200,25,66.7200
26,65.0700,26,64.1100,26,60.6200,26,63.1600,26,67.5800,26,68.1400,26,67.3000
27,65.1100,27,65.5700,27,61.7100,27,64.5100,27,67.5600,27,69.0500,27,66.9500
28,64.7300,28,64.0300,28,60.7400,28,63.3800,28,68.4900,28,67.2300,28,67.2400
29,62.0000,29,64.4500,29,60.7900,29,62.8600,29,66.9600,29,67.8400,29,66.4900
30,62.6000,30,65.3300,30,61.8600,30,63.8700,30,67.9700,30,68.6200,30,67.5000
31,64.4400,31,61.6700,31,61.9400,31,64.1100,31,66.7200,31,66.5500,31,67.5400
32,65.2400,32,64.6100,32,61.6800,32,63.6600,32,68.4300,32,68.0500,32,66.8600
33,65.0000,33,63.9300,33,61.4900,33,64.1800,33,68.3700,33,68.0400,33,66.4600
34,65.6000,34,64.4200,34,62.6500,34,64.5700,34,67.4300,34,69.0400,34,67.3600
35,65.6700,35,63.3900,35,62.2300,35,65.0800,35,67.8300,35,69.2300,35,67.7800
36,66.3000,36,66.1800,36,60.2500,36,64.9600,36,69.4000,36,67.9900,36,66.6500
37,65.0000,37,62.8000,37,60.5900,37,65.2100,37,69.3700,37,68.9500,37,67.1200
38,62.2000,38,65.1700,38,61.3500,38,63.6500,38,69.2700,38,67.8800,38,66.9100
39,65.1700,39,64.7100,39,60.7000,39,64.3000,39,67.3200,39,69.0500,39,67.2200
40,63.9800,40,65.4200,40,61.8800,40,63.7500,40,67.8700,40,67.9600,40,68.5000
41,64.9200,41,66.3900,41,62.5600,41,66.1400,41,69.0200,41,67.6600,41,67.8200
42,65.8400,42,65.4600,42,63.4300,42,65.3600,42,68.8400,42,69.1300,42,67.3800
43,64.5000,43,64.4800,43,63.1400,43,65.7000,43,66.6800,43,68.4600,43,68.2100
