magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000
10.0119,1.1110,10.0216,1.1280,10.0566,1.1207,10.0299,1.1601,9.4277,1.1043,9.7786,1.1181,10.0594,1.0836
20.0346,1.3059,20.0612,1.3195,20.0013,1.3258,20.0588,1.3793,20.0103,1.3139,20.0714,1.3421,20.0794,1.2477
30.0701,1.6110,30.1085,1.6289,30.0574,1.6532,30.0107,1.7319,30.1229,1.5815,30.0271,1.5909,30.1353,1.5370
40.0894,2.1523,40.1307,2.2185,40.0511,2.1671,40.0260,2.2303,40.1503,2.0984,40.0927,2.0652,40.1331,1.9187
50.1615,3.2259,50.0203,3.0821,50.1013,3.2027,50.0464,3.3888,50.1723,3.1430,50.2143,3.1837,50.1592,3.1586
60.1510,6.3997,60.1292,5.9493,60.2011,5.7871,60.0718,5.8751,60.2197,5.5232,60.1031,5.7550,60.1109,4.6932
70.1328,34.1151,70.0994,34.0180,70.0593,32.4192,70.1698,37.1586,70.0420,19.6620,70.0371,23.3713,70.0466,17.2938
80.1697,41.5155,80.2007,44.4069,80.1422,41.7434,80.1718,47.3092,80.0599,26.5427,80.1141,27.6665,80.1990,28.5555
90.1267,53.7089,90.0717,54.8387,90.1755,53.1259,90.1749,54.2748,90.1071,33.5362,90.1760,37.3721,90.1409,38.0537
