epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,obdc,random
1,68.2200,66.8400,66.1700,67.1200,66.7500,70.2800,66.0800
2,70.3700,67.8300,67.8200,68.9700,68.8000,70.1800,68.2600
3,70.6800,69.6200,69.0100,70.5100,69.4700,70.9400,69.6400
4,70.8600,66.5500,70.2700,68.7800,68.0300,67.8300,69.4500
5,68.6000,68.9600,69.5300,69.2200,69.1000,71.0800,67.6800
6,69.1100,70.3500,70.6100,71.2100,67.6000,69.8000,69.0800
7,70.5900,70.1100,71.2200,69.8500,67.3400,68.6600,69.4100
8,67.9000,69.3400,70.5600,69.3100,70.0600,69.9900,68.0000
9,70.9800,70.7300,70.0000,70.5800,69.8600,70.5900,70.6200
10,70.2700,69.6200,69.8900,71.0300,70.4700,70.3900,71.7500
11,69.6700,70.4700,70.6100,71.1200,71.0800,69.9200,69.4900
12,70.1300,69.6300,70.0300,70.6200,71.1100,70.1500,71.5600
13,70.1700,70.4400,70.4700,70.1300,69.9700,69.4800,70.4800
14,68.2100,69.4300,70.6200,70.5000,70.7600,70.3700,70.2900
15,69.3500,70.9000,69.7400,69.0400,69.9800,71.3700,70.4900
16,70.6000,70.8000,70.1100,70.0600,71.6300,69.9800,70.1900
17,70.1100,68.8700,69.3600,71.0900,70.2000,71.4900,70.4400
18,70.2900,68.9100,71.7800,68.7900,70.2600,71.0000,69.7900
19,71.2800,69.5500,70.7300,71.4900,69.6800,69.4700,70.3200
20,70.7700,68.3600,69.4800,68.9400,71.1100,70.1800,69.7500
21,71.2800,68.0200,70.9300,70.6900,68.5700,69.0300,69.7600
22,70.5500,70.0700,69.5700,69.7900,70.0900,70.0100,71.1500
23,69.6100,66.2700,69.2900,70.6300,70.3000,70.3000,69.1900
24,70.0300,69.3200,70.0600,70.9100,70.9100,70.9700,70.6600
25,70.6000,70.6700,70.2100,70.5100,71.2100,70.6800,69.4900
26,70.0000,69.3700,71.3800,70.8900,70.0600,70.9000,69.5200
27,70.2500,71.4300,70.1100,70.5200,70.3300,70.8800,69.1800
28,68.7100,68.8800,68.8800,69.6200,70.0000,71.0400,71.0400
29,70.2100,68.8100,70.8300,70.6000,70.7000,70.5900,70.0800
30,69.9300,69.0600,70.8100,70.5300,71.7300,70.4200,70.7900
31,71.5900,70.1800,70.9700,69.4000,69.7800,70.3800,70.2500
32,70.1900,71.3900,70.7100,68.5000,68.4700,68.6600,71.1000
33,71.4300,69.7900,69.1600,69.8900,70.1300,70.9600,70.6700
34,71.3500,69.9600,69.8000,68.7900,70.8900,70.1800,70.9000
35,70.6600,70.7100,71.5100,70.7700,70.4100,70.4600,69.7900
36,71.0800,71.2100,69.7600,69.7300,71.3400,70.7800,70.9300
37,69.7500,70.5100,70.8700,70.3500,70.9400,66.0500,71.0800
38,70.4700,69.1600,71.3900,70.3000,70.5500,69.8700,71.2600
39,68.9500,70.1700,70.1500,69.3000,70.9200,70.4000,69.2100
40,70.2900,69.7100,69.9400,69.8600,69.3700,69.7300,69.0200
41,70.8400,71.2500,69.2500,70.7200,71.2300,69.9900,70.9600
42,71.0400,70.3500,70.2600,70.9900,70.8800,69.8700,71.7200
43,69.0200,67.1300,69.3200,70.4200,70.3000,68.5100,71.1500
44,70.0800,69.5200,69.2300,69.6300,71.0500,69.8400,70.7900
45,70.6800,70.5000,69.5600,69.6000,70.0400,68.4000,70.5500
46,69.5400,70.1800,70.1900,70.3300,70.2600,71.4700,70.0300
47,70.9600,70.6300,70.4600,69.4500,69.8800,70.5800,70.2700
48,68.8900,70.1300,70.8000,69.2100,70.7100,69.2200,69.0500
49,69.3000,67.7000,70.7000,69.2700,69.8600,70.9200,68.2600
50,70.9400,70.5600,69.9300,69.3600,70.9000,70.8000,69.3600
51,70.1700,69.9800,71.4000,69.5200,71.3000,70.5300,71.1300
52,70.4400,68.0600,69.0100,67.7500,69.2100,71.1100,70.0700
53,69.3600,68.8100,70.8300,71.5100,69.6900,71.4000,70.1300
54,69.1100,69.3200,69.3500,68.2700,70.3600,70.2100,69.7000
55,70.1300,70.1100,69.5500,69.7100,71.4400,69.2400,69.0800
56,69.2600,70.5600,70.9700,69.7100,69.9000,70.8100,70.1300
