epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,random
1,58.2000,58.4600,57.7700,58.7300,57.5600,53.5900
2,59.0000,59.0600,59.0600,58.5800,58.1400,54.0400
3,59.8400,59.2500,59.5400,59.5500,58.8800,56.4400
4,58.7500,57.7200,58.4400,58.3900,58.7400,54.3100
5,58.7900,58.7000,58.5300,58.4000,59.0100,56.9100
6,58.8000,59.0800,59.0000,59.5500,59.5100,56.7800
7,58.5600,58.4600,58.2200,58.1100,59.6000,56.5900
8,60.4500,59.8200,60.5000,59.2500,59.0900,56.6100
9,59.4300,58.8400,59.3300,59.5200,58.7400,56.3200
10,59.3500,59.0400,58.4100,58.7500,59.8600,56.1800
11,59.8800,59.1400,60.7300,58.9600,59.2500,57.5400
12,58.2800,59.4300,58.8800,58.9000,60.2400,57.6500
13,58.5500,59.0500,59.8900,59.3000,59.5800,56.6900
14,59.5200,58.8900,59.7100,59.9900,59.4400,57.1700
15,59.2900,59.5100,59.8000,59.3200,58.6900,58.1900
16,59.4700,59.0200,59.4400,59.4300,59.2200,53.2700
17,58.5900,58.7100,58.0300,58.2400,59.3200,58.1600
18,58.8200,60.1500,57.6500,59.1200,58.9200,57.8000
19,60.0400,59.2900,59.6900,59.1000,57.8700,57.3000
20,59.0100,59.4200,60.1500,57.6900,60.4600,57.8100
21,59.4200,60.5000,60.6900,59.6200,58.6400,55.6800
22,59.7800,59.8800,59.7700,59.9600,59.4100,57.9400
23,59.2900,58.7000,59.3600,58.5800,59.4400,58.0500
24,59.1700,59.0400,59.0300,59.8600,59.6300,58.7600
25,60.7500,59.8900,61.1100,59.9100,58.9500,57.7400
26,59.5100,59.1100,60.2100,59.5500,59.1300,55.5400
27,59.9100,58.2800,59.6800,59.4100,59.1500,58.1500
28,59.7500,60.0300,59.7900,59.8200,60.5200,56.9100
29,60.6600,60.4300,59.7700,60.0500,59.1800,58.6000
30,59.4400,58.1500,58.1800,58.6100,57.3200,57.4300
31,60.5700,60.3300,59.6600,59.0400,59.5800,56.9200
32,60.5400,59.8100,59.3600,60.0000,59.2900,58.6900
33,60.5800,60.0600,59.5800,60.1100,58.8100,58.4300
34,60.2300,60.0500,60.0300,60.2300,58.5600,59.1200
35,57.7500,59.8500,59.6600,58.4700,59.1600,58.1400
36,59.5600,60.0800,59.0600,59.0600,60.5500,59.2700
37,58.5700,59.0600,58.9100,59.9900,59.3600,58.7900
38,60.0400,58.1300,59.4900,59.4100,59.4600,58.7200
39,59.7200,60.1100,60.2300,60.6000,59.8700,59.2100
40,59.9500,60.1300,60.6000,60.5600,59.1000,58.8800
41,61.0100,60.7100,60.7100,60.2800,58.8800,59.1800
42,60.2300,58.9500,60.1600,60.0400,60.0800,57.9700
43,59.4300,60.5800,60.4000,59.7200,59.9000,60.0600
44,60.3900,59.2200,59.5800,60.1800,58.4900,58.4900
45,59.2300,58.9300,59.1300,59.3800,59.3500,56.9500
46,59.4100,60.0700,60.8600,59.5600,59.6100,58.8000
47,59.1200,59.0100,59.4900,59.4500,60.0500,56.9600
48,60.5200,59.6600,58.5900,60.1000,60.6400,59.2300
49,60.2000,58.7400,59.5500,60.2300,58.9700,58.6500
50,59.8400,60.4100,60.3600,59.7900,58.7500,58.8600
51,60.0400,59.7800,60.2400,59.6200,58.9200,58.3400
52,60.0200,59.9900,59.7600,59.9400,60.0000,58.1000
53,59.1800,58.7800,59.7100,59.4100,60.6600,59.8400
54,59.5700,60.2800,60.3200,60.1000,60.7300,58.4200
55,59.6500,60.7900,59.8400,59.4200,60.9000,59.2200
56,60.8700,60.1400,59.3400,59.5100,59.0700,59.2000
57,60.5400,60.7900,61.2400,60.2400,60.1400,59.1200
58,61.5200,61.1600,60.7700,60.8000,61.8600,59.0300
59,59.0700,60.7400,60.8100,60.0600,60.6100,58.0300
60,60.4100,59.9600,61.1900,60.7600,59.1200,60.2200
61,65.3500,65.6500,65.3800,65.7500,65.3700,64.7500
62,65.8300,66.0800,65.9300,65.9600,65.4400,65.0300
63,65.7900,65.8400,66.0900,66.1000,65.8500,65.2400
64,65.8300,66.1800,66.3100,66.2300,66.1000,65.5200
