epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,obdc,random
1,70.2700,71.5500,69.1500,71.8900,72.8100,73.0000,73.3200
2,70.6800,71.4500,71.0600,72.7100,72.5200,72.3400,72.7200
3,72.0800,72.3100,71.5400,72.3300,73.4800,72.6900,73.3500
4,71.4500,72.7000,71.4000,72.3100,72.4300,72.3200,72.2400
5,71.5200,71.3200,72.2000,72.4300,73.2700,71.6200,72.5500
6,72.3800,72.3800,72.4000,73.2300,72.0200,72.6800,71.8800
7,72.4300,71.4900,72.6200,72.1000,72.8900,72.0700,71.6200
8,71.8700,72.4600,72.1500,71.6400,72.8000,72.5800,71.0700
9,72.7000,73.4400,72.1800,73.0900,72.8500,71.7700,72.4800
10,71.9600,72.3900,72.8100,72.3800,72.7800,72.1800,71.7500
11,72.4900,73.0100,72.9300,71.0400,71.8400,72.6400,71.8200
12,71.8100,72.0400,71.6700,71.0800,72.6200,72.2200,71.5200
13,72.0200,72.3600,72.1900,73.0700,72.6900,72.3500,72.2100
14,71.5900,72.6600,73.1500,71.2700,72.2100,71.8300,72.1800
15,72.5600,73.3500,72.5000,72.9500,72.3800,72.1900,72.4500
16,71.8200,72.1600,72.5500,71.3300,71.7000,71.9700,71.1700
17,70.7000,72.2700,72.6000,71.4200,71.5000,72.2300,70.8200
18,70.8200,70.1700,71.9400,72.1800,72.2800,71.9600,71.8300
19,71.8600,71.6400,71.6700,71.8500,72.0000,71.7800,70.6600
20,70.9000,71.5600,72.6500,72.1600,72.3700,71.9000,71.4100
21,71.5400,71.2000,71.9900,70.8200,72.1800,71.5100,71.3400
22,71.5200,71.5200,71.7700,71.1600,72.0700,71.3900,72.2300
23,70.9600,69.7600,68.9800,71.2200,71.4000,71.4000,71.0000
24,71.5900,71.0200,70.8800,71.2900,71.8300,71.9000,72.3900
25,71.0100,71.3600,70.6600,71.7600,71.9000,72.2800,72.2900
26,70.7300,72.2100,71.1200,71.7900,70.8900,72.1500,71.8700
27,71.5200,72.0600,70.8400,72.0200,71.5800,72.3500,71.7600
28,71.5400,71.5200,71.2300,70.5600,69.9800,70.8500,70.9700
29,72.1300,71.3100,71.6900,71.8400,72.4700,71.8500,71.3100
30,71.5500,72.1600,71.4600,71.4000,70.7100,71.9800,70.9000
31,71.5800,70.9800,71.0600,73.2700,71.6700,71.6600,70.6500
32,71.0600,71.2200,71.6700,71.7500,70.9000,71.6900,71.7200
33,71.1800,71.0700,71.5200,71.3800,71.1600,71.7500,71.6400
34,71.0500,71.8800,70.5700,72.2900,71.7800,72.2000,70.3600
35,70.9900,71.8400,71.5900,71.9100,71.2600,71.8900,71.6700
36,71.1700,70.6000,71.5700,72.2100,72.3100,71.3900,71.1000
37,70.7800,72.0900,71.0000,71.4700,71.5800,72.1700,71.2200
38,70.4500,71.8100,70.3900,71.4200,72.5600,71.9400,71.2200
39,69.7500,70.7200,69.9700,70.6700,72.0700,71.4100,72.4700
40,72.0900,72.5100,70.8500,72.0700,71.5700,71.5500,72.6000
41,71.5700,70.9900,72.7300,71.3000,71.8300,71.5400,72.3300
42,71.0200,71.2900,70.9700,70.9100,70.9000,71.9300,71.7500
43,70.7900,71.8300,71.2400,70.3800,71.4000,72.5600,70.9900
44,70.9400,71.7500,71.5400,72.0500,72.5700,72.2900,71.8000
45,71.3500,70.2700,70.6800,71.5300,71.4200,71.1900,71.7800
46,70.7200,73.0700,70.8700,72.1200,71.1900,72.2700,71.8000
47,71.2900,71.1900,71.1400,70.8300,71.2000,71.8400,71.3600
48,70.2700,70.4100,70.5500,72.4500,72.1200,72.0700,71.2500
