epoch,magnitude_l1,magnitude_l2,fpgm,taylor,random
1,1.0000,1.0000,1.0000,1.4100,1.0000
2,1.0000,1.0000,1.0000,1.6100,1.0000
3,1.0000,1.0000,1.0000,2.3700,1.0000
4,1.0000,1.0000,1.0000,2.5600,1.0000
5,1.0000,1.0000,1.0000,2.5200,1.0000
6,1.0000,1.0000,1.0000,3.2000,1.0000
7,1.0000,1.0000,0.9800,3.4400,1.0000
8,1.0000,1.0000,1.0000,3.8000,1.0000
9,1.0000,1.0000,1.0000,4.5700,1.0000
10,1.0000,1.0000,1.0000,5.3700,1.0000
11,1.0000,1.0000,1.0000,6.4700,1.0000
12,1.0000,1.0000,1.0000,7.2500,1.0000
13,1.0000,1.0000,1.0000,7.1300,1.0000
14,1.0000,1.0000,1.0000,7.6100,1.0000
15,1.0000,1.0000,1.0000,6.6900,1.0000
16,1.0000,1.0000,1.0000,8.3900,1.0000
17,1.0000,1.0000,1.0000,8.9800,1.0000
18,1.0000,1.0000,1.0000,8.1900,1.0000
19,1.0000,1.0000,1.0000,9.3800,1.0000
20,1.0000,1.0000,1.0000,8.2800,1.0000
21,1.0000,1.0000,1.0000,11.5600,1.0000
22,1.0000,1.0000,1.0000,10.8600,1.0000
23,1.0000,1.0000,1.0000,13.7200,1.0000
24,1.0000,1.0000,1.0000,14.5200,1.0000
25,1.0000,1.0000,1.0000,14.9900,1.0000
26,1.0000,1.0000,1.0000,15.1700,1.0000
27,1.0000,1.0000,1.0000,16.0600,1.0000
28,1.0000,1.0000,1.0000,15.9600,1.0000
29,1.0000,1.0000,1.0000,15.8400,1.0000
30,1.0000,1.0000,1.0000,12.2900,1.0000
31,1.0000,1.0000,1.0000,17.4900,1.0000
32,1.0000,1.0000,1.0000,17.3900,1.0000
33,1.0000,1.0000,1.0000,17.1300,1.0000
34,1.0000,1.0000,1.0000,16.7200,1.0000
35,1.0000,1.0000,1.0000,17.5500,1.0000
36,1.0000,1.0000,1.0000,18.1900,1.0000
37,1.0000,1.0000,1.0000,19.7300,1.0000
38,1.0000,1.0000,1.0000,18.5400,1.0000
39,1.0000,1.0000,1.0000,20.5200,1.0000
40,1.0000,1.0000,1.0000,21.2900,1.0000
41,1.0000,1.0000,1.0000,20.6100,1.0000
42,1.0000,1.0000,1.0000,21.2900,1.0000
43,1.0000,1.0000,1.0000,20.7900,1.0000
44,1.0000,1.0000,1.0000,22.7700,1.0000
45,1.0000,1.0000,1.0000,22.7900,1.0000
46,1.0000,1.0000,1.0000,25.4600,1.0000
47,1.0000,1.0000,1.0000,20.9300,1.0000
48,1.0000,1.0000,1.0000,23.1300,1.0000
49,1.0000,1.0000,1.0000,22.8700,1.0000
50,1.0000,1.0000,1.0000,24.9300,1.0000
51,1.0000,1.0000,1.0000,25.5200,1.0000
52,1.0000,1.0000,1.0000,23.8300,1.0000
53,1.0000,1.0000,1.0000,26.0900,1.0000
54,1.0000,1.0000,1.0000,24.6300,1.0000
55,1.0000,1.0000,1.0000,25.7300,1.0000
56,1.0000,1.0000,1.0000,26.5800,1.0000
57,1.0000,1.0000,1.0000,25.5500,1.0000
58,1.0000,1.0000,1.0000,25.8200,1.0000
59,1.0000,1.0000,1.0000,27.7300,1.0000
60,1.0000,1.0000,1.0000,27.0700,1.0000
61,1.0000,1.0000,1.0000,32.5100,1.0000
62,1.0000,1.0000,1.0000,32.4700,1.0000
63,1.0000,1.0000,1.0000,32.7500,1.0000
64,1.0000,1.0000,1.0000,32.5400,1.0000
65,1.0000,1.0000,1.0000,33.1500,1.0000
66,1.0000,1.0000,1.0000,32.4700,1.0000
67,1.0000,1.0000,1.0000,32.3900,1.0000
68,1.0000,1.0000,1.0000,32.8100,1.0000
69,1.0000,1.0000,1.0000,33.2200,1.0000
70,1.0000,1.0000,1.0000,33.2100,1.0000
71,1.0000,1.0000,1.0000,33.4700,1.0000
72,1.0000,1.0000,1.0000,33.7200,1.0000
73,1.0000,1.0000,1.0000,33.3800,1.0000
74,1.0000,1.0000,1.0000,33.2600,1.0000
75,1.0000,1.0000,1.0000,33.8400,1.0000
76,1.0000,1.0000,1.0000,33.3300,1.0000
77,1.0000,1.0000,1.0000,33.4500,1.0000
78,1.0000,1.0000,1.0000,33.7800,1.0000
79,1.0000,1.0000,1.0000,33.8600,1.0000
80,1.0000,1.0000,1.0000,34.2300,1.0000
81,1.0000,1.0000,1.0000,34.5700,1.0000
82,1.0000,1.0000,1.0000,34.7400,1.0000
83,1.0000,1.0000,1.0000,34.7200,1.0000
84,1.0000,1.0000,1.0000,34.7600,1.0000
85,1.0000,1.0000,1.0000,35.0600,1.0000
86,1.0000,1.0000,1.0000,34.8800,1.0000
87,1.0000,1.0000,1.0000,34.7700,1.0000
88,1.0000,1.0000,1.0000,34.9400,1.0000
89,1.0000,1.0000,1.0000,34.8300,1.0000
90,1.0000,1.0000,1.0000,34.9300,1.0000
91,1.0000,1.0000,1.0000,34.9000,1.0000
92,1.0000,1.0000,1.0000,34.8800,1.0000
93,1.0000,1.0000,1.0000,34.9900,1.0000
94,1.0000,1.0000,1.0000,35.0700,1.0000
95,1.0000,1.0000,1.0000,34.9400,1.0000
96,1.0000,1.0000,1.0000,34.9700,1.0000
97,1.0000,1.0000,1.0000,35.1500,1.0000
98,1.0000,1.0000,1.0000,34.9400,1.0000
99,1.0000,1.0000,1.0000,34.8800,1.0000
100,1.0000,1.0000,1.0000,34.9100,1.0000
