epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,random
1,66.3400,65.8100,61.9100,65.3700,62.4500,58.9400
2,66.1900,66.6100,63.7900,65.8500,61.7900,60.1700
3,66.7000,65.4900,61.2400,65.9900,64.3100,62.0400
4,67.9300,64.4500,64.5300,65.9600,62.2900,63.5400
5,66.5100,66.3700,63.7000,66.0600,65.2800,62.2000
6,66.8500,65.4300,65.5500,66.8400,63.7300,62.3000
7,66.5100,66.3400,65.7700,66.4000,65.8900,64.7400
8,67.0600,66.3000,65.1700,66.0700,64.7700,63.1100
9,66.3500,65.0800,65.3800,65.6600,65.8600,62.5400
10,67.5400,66.7200,64.7200,65.3100,66.0900,65.7600
11,66.9300,67.4500,65.3600,66.1600,64.0400,63.0500
12,67.0200,66.0900,65.0300,66.5000,66.7900,64.3900
13,67.3700,66.7300,65.5300,66.8400,65.9200,64.8500
14,67.4900,67.4600,66.3800,67.1300,66.5900,64.6300
15,67.5600,66.1500,64.9100,66.0200,66.2200,65.7400
16,67.3600,66.3900,65.1900,66.6100,66.4000,65.6700
17,67.7200,65.6100,65.7000,66.3900,66.4200,65.4800
18,66.9400,65.4200,66.1000,66.7900,66.5600,65.4500
19,67.4700,67.2600,65.1400,66.7300,66.9100,65.5100
20,66.3400,66.1000,66.2300,65.9900,65.0500,66.3500
21,67.2900,66.3600,66.1700,65.9800,65.7000,65.1900
22,67.0700,66.9100,64.9900,67.3200,64.4000,65.5300
23,65.3600,67.2700,64.5800,66.7800,66.7800,63.7200
24,67.1700,64.9200,64.5600,66.3900,66.3100,64.3400
25,67.0100,65.6600,66.0000,66.4300,66.8300,66.1000
26,66.2100,66.1000,65.6600,65.9800,66.6400,66.2000
27,66.5600,65.8400,65.7100,66.0100,66.4800,64.4600
28,66.9000,67.4700,65.6900,66.4500,66.3600,65.8500
29,67.8700,65.8400,66.1700,67.2100,66.8100,65.9500
30,67.7600,65.9200,66.6700,66.7300,66.5800,66.2900
31,66.0100,65.4000,64.2000,66.4000,65.5400,64.4200
32,66.2800,65.9100,66.3100,66.8500,65.1700,66.6600
33,67.0600,64.9800,66.8000,66.6200,66.5100,65.9200
34,67.0300,66.2900,66.6500,66.9100,65.2200,66.0700
35,67.6300,66.9700,65.9900,66.1100,66.6100,66.5300
36,67.9700,66.7400,64.2600,65.8800,65.2500,66.1700
37,67.2900,65.7300,65.5400,66.8400,66.0400,66.3200
38,67.2400,66.2800,66.5400,66.6100,64.8300,66.4500
39,65.9400,67.0200,66.4300,64.7200,66.6600,66.6400
40,67.4400,67.0000,66.4700,67.0700,66.1200,65.9000
41,68.1600,65.5000,66.4500,67.5100,64.5300,66.1200
42,68.6000,66.6300,66.1000,65.7900,66.9000,66.2400
43,66.8600,67.1400,66.2000,67.2600,65.7800,66.3800
44,66.4500,66.3200,65.2900,65.9600,67.2100,65.5600
45,67.5600,65.3300,66.3900,68.0900,65.8300,65.0800
46,66.8700,67.0400,65.5400,67.4500,66.1300,65.9000
47,66.8400,65.2800,66.0600,65.6600,66.6800,66.0500
48,65.9900,66.3200,64.4600,66.3600,66.7000,64.0000
49,66.9000,67.5000,67.2900,66.2600,65.7100,66.1900
50,68.0900,64.5400,66.5600,66.7800,67.5500,65.3900
51,66.8200,66.8200,66.7400,66.4100,66.0000,65.6800
52,66.6300,66.5400,66.7400,66.1400,66.8500,65.5600
53,67.3900,65.7700,66.8100,67.5600,67.3000,65.3500
54,67.3800,66.8300,64.9600,65.4400,66.0600,65.6500
55,66.2200,67.2000,65.6800,66.6600,66.3400,65.7100
56,66.2900,66.4900,66.3900,66.6500,67.2400,66.0400
57,67.5600,65.2300,64.9400,66.5400,67.3000,66.6800
58,68.1500,67.0200,65.0000,66.0400,65.4800,65.8200
59,66.9600,66.6100,66.3800,65.8800,65.9200,65.8900
60,66.5300,66.9400,66.1800,67.1100,65.4200,64.5900
61,72.8400,71.9800,71.8200,72.2100,71.0400,71.2300
62,73.0900,72.5000,72.0300,72.7000,71.4400,71.6500
63,73.2800,72.5900,72.3700,72.7300,71.6300,71.6000
64,73.4500,72.9600,72.3800,72.9000,71.8300,71.8000
65,73.6000,72.9700,72.3800,73.0400,71.6700,71.8500
66,73.3900,73.1000,72.3200,72.9300,71.9300,71.8300
67,73.5900,73.0400,72.5600,72.9800,71.8700,71.9500
68,73.7200,72.9300,72.5400,73.2300,72.1900,71.7800
69,73.6600,72.9000,72.5900,73.1200,72.1000,71.9500
70,73.6800,73.0300,72.7700,73.2600,72.1400,71.8200
71,73.7800,73.1700,72.8700,73.3900,72.1200,71.8000
72,73.6800,73.0800,72.9000,73.2400,72.4200,72.0700
73,73.7500,73.1600,72.9000,73.0700,72.3500,72.0400
74,73.9600,73.1100,73.2000,73.4400,72.4100,72.2000
75,73.6900,72.9400,72.9400,73.2500,72.3000,71.7900
76,73.9300,72.9900,73.0600,73.1700,72.2100,71.8200
77,73.9300,73.1600,72.8200,73.5200,72.2200,71.9800
78,73.9500,73.2400,72.7300,73.4500,72.2400,71.9100
79,73.8800,72.9600,72.7900,73.2800,72.3500,71.8700
80,74.0500,73.2100,72.8500,73.3600,72.5000,71.9300
81,73.9100,73.1700,72.9900,73.4000,72.3000,72.0100
82,73.9900,73.0300,72.9700,73.3800,72.4900,71.9800
83,74.0500,73.1700,72.9300,73.3900,72.4600,71.8500
84,73.8600,73.1000,72.8800,73.3400,72.5800,72.1000
85,73.9500,73.2200,73.0500,73.4000,72.5300,71.9600
86,74.0100,73.1200,72.9200,73.3500,72.4800,72.1900
87,73.9500,73.0800,72.8900,73.4400,72.5200,72.1300
88,74.0300,73.2100,73.0300,73.4100,72.6100,72.2400
89,74.1900,73.1100,73.0500,73.3100,72.6700,72.0100
90,73.9900,73.0600,73.1000,73.4400,72.6400,72.0800
91,73.9100,73.2000,72.9700,73.3000,72.5000,72.0600
92,74.0900,73.1300,72.9900,73.4500,72.5900,72.0500
93,74.0800,73.2900,72.8800,73.4100,72.5800,72.1200
94,74.0900,73.2300,73.1600,73.4200,72.5300,72.0900
95,74.0900,73.0600,72.9300,73.5600,72.5400,72.0700
96,73.9300,73.0200,73.0900,73.3300,72.5500,72.1500
97,74.1200,73.2900,73.1000,73.4100,72.6200,72.2200
98,74.0200,73.3900,73.1100,73.5000,72.5600,72.1900
99,74.1000,73.1500,73.1000,73.5000,72.6400,72.0700
100,74.1600,73.3700,73.0700,73.5800,72.5300,72.0400
