epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,obdc,random
1,26.9700,52.5500,26.3300,46.5800,64.5300,63.8000,59.9300
2,47.7700,62.1600,43.3300,57.3300,67.6000,66.7800,63.7700
3,52.1800,64.1600,52.6000,60.7100,67.4900,67.9100,65.7400
4,56.7100,67.6700,58.0400,64.1700,69.8300,68.8900,66.8700
5,57.5000,67.7200,59.4200,66.2000,71.0100,71.1200,69.1000
6,61.0900,67.6100,63.2800,68.5200,71.3100,71.3700,68.3000
7,60.4500,69.8400,63.9200,67.6600,70.7400,71.6400,69.6900
8,60.4700,69.8500,63.5300,69.1800,70.1000,72.1400,67.6900
9,62.6000,70.8400,65.1100,68.8500,71.7700,71.1800,71.3600
10,63.2500,70.9800,66.2000,67.6700,71.5600,71.9100,71.3300
11,62.4500,70.6300,67.8700,70.4400,72.7600,72.4200,71.5000
12,62.2900,71.2100,67.6200,70.5800,73.6000,73.2800,70.5600
13,63.2900,70.5700,67.2800,71.0400,72.3000,73.1700,71.9600
14,63.8100,71.5000,67.4900,70.6100,73.5900,71.9500,71.6900
15,64.3900,72.3500,67.3200,70.6600,74.0800,73.9800,71.8400
16,65.4400,73.4100,68.6200,71.9000,73.4000,72.7900,72.3400
17,64.0100,72.2300,69.7200,70.3900,73.0500,74.3400,71.7600
18,65.0300,71.5200,69.5100,70.1800,72.9300,74.2300,71.9000
19,65.3700,73.1300,69.3100,71.4400,73.1900,73.3600,72.4900
20,65.8900,71.3200,70.2800,72.0800,73.3800,73.2300,72.2600
21,65.7500,73.0100,70.2400,71.7800,74.9300,74.3600,73.0600
22,65.0100,72.2400,70.4100,71.8100,73.2700,73.2800,72.3300
23,66.7000,73.3300,69.0300,71.9400,74.1300,73.7800,73.2000
24,65.1000,71.3100,70.1600,71.2300,74.1900,73.1800,72.5900
25,66.3200,72.7000,70.3100,72.8000,73.7300,74.2300,72.1300
26,65.1800,72.8100,71.0200,72.3300,74.7200,73.7800,72.9400
27,66.4100,72.3400,71.6800,72.1300,74.1800,73.3300,73.2600
28,64.8300,72.6100,69.7500,71.9300,74.3400,74.5700,72.0400
29,65.7500,72.6800,71.0100,72.9500,73.5400,72.5600,72.9100
30,65.7900,71.5500,70.2500,72.7400,74.8500,73.3500,72.8400
31,65.8900,73.8700,70.7500,71.7300,73.2500,74.0000,71.8700
32,64.6100,72.9200,70.2300,72.7000,74.2100,74.8000,72.0500
33,65.4900,73.2300,71.8600,72.4600,74.7600,72.9900,71.6000
34,66.6600,73.0200,71.4800,72.7100,74.0200,73.9200,72.1000
35,67.3400,72.6000,72.0900,73.0300,73.8300,74.2600,73.3400
36,65.5400,72.0500,71.0600,72.8900,74.3500,74.1300,73.5200
37,65.9500,73.8800,72.2800,72.2900,74.3000,74.8300,74.2900
38,66.1400,72.8800,70.4400,72.6800,74.3200,72.9800,73.5800
39,66.3300,73.8700,71.2200,73.2500,74.1000,73.8800,72.7000
40,66.7000,73.0600,71.3700,72.4400,73.8700,74.0100,71.9300
41,66.7300,73.8200,72.2300,72.6000,74.4800,73.8100,73.2600
42,66.8000,72.8100,71.3300,72.3000,74.1200,73.6100,72.6700
43,65.4500,73.6600,71.7400,73.3700,73.8800,73.0000,73.5800
44,66.2500,73.1600,72.2300,72.4500,73.8300,73.4800,73.7300
45,66.9600,72.3200,71.7900,72.9700,73.9300,74.5600,73.8300
46,66.1800,73.4600,71.0500,73.4700,73.9600,73.0300,73.4300
47,66.1000,71.6000,70.5300,72.5200,73.9400,73.8900,73.2900
48,65.2000,73.6800,70.6800,72.6500,74.3900,73.9200,72.8700
49,66.4400,73.2000,72.5400,73.0000,73.9200,73.1300,73.0300
50,65.0200,74.2100,72.3400,72.9100,74.5700,74.1100,74.4800
51,67.0400,73.5300,71.2300,73.1100,74.0300,74.9700,74.0100
52,66.5700,72.6900,71.9900,72.9900,75.0100,73.5200,73.0200
53,66.7200,74.2300,71.8300,71.6000,75.0300,73.5000,72.9700
54,65.7500,73.0700,71.7800,71.6300,74.0300,73.9600,72.1300
55,65.9900,72.9000,72.0500,73.3300,73.6900,73.7200,73.6200
56,66.0300,73.2900,71.9600,71.5300,74.8300,73.8900,74.0700
57,66.6400,73.2600,72.2500,71.8600,73.7300,74.2900,74.0500
58,66.7800,72.9400,72.7100,72.9200,74.0200,75.0200,73.2400
59,66.5800,72.7700,72.1800,73.2300,74.0500,72.8400,72.9500
60,65.7500,71.9300,72.1500,72.9100,75.1300,74.9200,73.5900
61,70.6800,77.7700,76.6900,77.4900,78.5900,78.1700,77.1500
62,70.9900,77.8700,77.1000,77.7400,78.8600,78.8800,77.6800
63,70.8700,78.1500,77.1300,77.8100,79.0900,79.0000,77.7900
64,71.1000,78.2800,77.5300,77.9900,79.3000,79.2000,77.8800
65,71.4100,78.2200,77.3200,78.1800,79.3600,79.2100,77.7600
66,71.4100,78.1400,77.3900,78.2400,79.4000,79.2100,77.7900
67,71.6500,78.0300,77.4000,78.0100,79.4400,79.5200,77.7200
68,71.2400,78.2600,77.3700,78.0500,79.4700,79.2100,77.6000
69,71.3900,78.7100,77.4400,78.0500,79.3200,79.3800,78.0100
70,71.6600,78.5700,77.4100,78.2100,79.7000,79.4100,78.1000
71,71.4200,78.4100,77.5200,78.2400,79.5300,79.4000,78.0100
72,71.6300,78.6000,77.4400,78.3100,79.5700,79.3300,77.9900
73,71.7600,78.7300,77.5500,78.1900,79.3700,79.6100,78.0100
74,71.6500,78.4900,77.5000,78.3700,79.4500,79.5200,78.4300
75,71.6200,78.7700,77.4400,78.2200,79.5400,79.5700,78.2000
76,71.8200,78.7400,77.6700,78.3000,79.5700,79.4900,78.1700
77,71.7900,78.8700,77.4200,78.3800,79.5800,79.5200,78.1100
78,71.6400,78.9300,77.4700,78.4200,79.3300,79.3400,78.1000
79,71.7400,78.8700,77.4300,78.2000,79.3200,79.4300,77.9100
80,71.7600,79.0700,77.5600,78.1900,79.5800,79.4900,78.1900
81,71.8400,78.9000,77.5900,78.3000,79.6200,79.5200,78.0500
82,71.7300,78.9300,77.5900,78.4500,79.5900,79.6300,77.8900
83,71.8500,78.8800,77.5800,78.4500,79.5700,79.5200,78.0600
84,71.9300,78.9400,77.6700,78.3600,79.6500,79.6000,77.9000
85,71.9300,79.0400,77.6900,78.4800,79.6300,79.5600,78.2400
86,71.9700,78.9800,77.7700,78.3900,79.5000,79.4800,78.1000
87,71.9500,79.1300,77.5600,78.4000,79.5700,79.6200,78.0900
88,71.9900,79.0300,77.6200,78.3500,79.6400,79.5100,78.0500
89,71.9300,78.9800,77.6300,78.3700,79.6400,79.5900,78.0000
90,71.9800,78.9900,77.6500,78.5000,79.5900,79.5200,78.2400
91,71.9400,78.8900,77.6200,78.4200,79.7300,79.6300,78.1500
92,71.8100,78.9500,77.7700,78.5000,79.6400,79.6600,78.0300
93,71.8700,78.8500,77.6400,78.3300,79.6600,79.6600,78.2100
94,71.7200,78.9500,77.4300,78.3100,79.6500,79.4900,78.1000
95,71.7300,78.8900,77.6300,78.4800,79.6700,79.6000,78.2500
96,71.9400,78.8400,77.5600,78.2300,79.6600,79.5800,78.1100
97,71.6400,78.9500,77.6100,78.4700,79.6500,79.6600,78.0800
98,71.7600,78.9000,77.5900,78.6100,79.6800,79.6900,78.1600
99,71.7900,78.9300,77.7000,78.5000,79.6200,79.6300,78.2000
100,71.7300,79.0300,77.7000,78.5300,79.8300,79.4600,78.0800
