epoch,n1,n2,n3,n4,n5,n6,n7,n8
1,9.3600,16.0660,31.5080,48.5360,63.1040,71.8380,73.0080,74.4840
2,21.7080,36.8180,53.3960,63.5900,67.2520,70.7960,70.9780,72.1020
3,32.4860,46.3040,60.2780,65.7320,66.5020,71.8900,72.3520,72.9300
4,39.7060,52.5240,62.3920,65.2720,68.9980,72.1360,72.7200,72.8760
5,43.5540,55.6600,64.1520,67.5980,69.5060,72.3720,72.3280,73.5560
6,49.0380,60.6520,65.6860,68.3440,69.8260,73.0220,72.7320,73.8480
7,51.9500,62.0380,66.5640,69.1660,70.3840,72.7080,72.7220,73.2420
8,51.4340,61.9700,66.3780,68.9460,70.9040,72.4800,73.0040,73.3760
9,53.5000,63.1020,67.3740,69.1980,70.4980,72.7020,73.1140,73.3100
10,54.5720,62.5840,67.1820,68.6900,70.9000,72.7940,73.1600,73.4300
11,56.3620,63.7620,67.8420,69.3120,71.2240,73.1480,73.3980,73.6080
12,55.2060,64.2780,68.3740,69.0860,70.9560,73.0760,73.6320,73.3760
13,56.9520,63.8360,67.8720,69.8320,71.0900,73.7180,73.5380,74.0660
14,56.5440,64.5740,68.1480,70.1180,70.6080,73.3920,73.6280,74.2540
15,57.2560,65.2900,67.8560,69.8480,71.1920,73.4540,73.7860,74.2780
16,57.9020,66.1040,68.1500,69.8480,70.5960,73.5020,73.8220,74.4120
17,58.1280,65.7000,68.8740,70.0520,71.3080,74.2540,74.1560,74.4440
18,58.0360,64.5280,68.3040,69.4560,70.8640,74.1480,74.2740,74.6040
19,59.0800,64.8580,69.3100,69.8980,71.8480,74.5960,75.0580,74.9320
20,59.6260,65.1620,68.5380,70.2280,71.8940,74.6940,75.0400,75.2340
21,59.0880,65.5000,68.6800,70.2700,71.5420,74.8780,75.3620,75.5640
22,57.8660,65.9620,68.9340,71.0360,72.2080,75.4700,75.8940,75.8440
23,59.3940,66.6700,68.9660,70.5320,71.9200,75.8420,75.8000,76.4320
24,58.7040,66.4780,69.3640,70.8180,71.5540,75.7320,75.9400,76.4840
25,59.3480,67.4140,69.7640,71.0460,72.6300,76.6300,76.6940,76.7640
26,59.0860,66.0340,68.9620,70.8640,72.3340,76.5640,76.7340,77.0460
