epoch,n1,n2,n3,n4,n5,n6,n7,n8
1,14.3660,31.7700,52.8100,65.6580,69.2360,71.4480,72.0540,72.0740
2,31.8960,47.8840,56.4420,64.9020,67.7900,68.0840,68.8580,70.1300
3,40.8860,49.0120,60.9920,64.0100,66.3100,69.2640,69.3300,73.0720
4,44.2140,54.4560,61.3940,66.5000,68.6120,69.8900,70.8280,73.3360
5,46.1400,57.5700,63.5900,67.3900,69.4480,70.8000,70.1540,74.2080
6,50.4780,59.4740,65.1060,66.3360,69.4380,70.8840,71.9560,74.8580
7,49.0160,60.4840,62.6080,68.7420,70.0680,70.3920,72.7980,75.5200
8,50.5060,61.7300,66.1640,69.0040,70.3320,71.0340,72.9020,76.3740
9,54.4520,61.9360,66.3260,68.7560,70.0500,71.6540,73.6060,77.1980
10,56.0400,62.9120,66.5980,69.0840,70.3640,71.2820,74.1540,77.6240
11,56.1740,62.7540,66.9720,68.2740,70.5740,72.3360,75.4520,78.4800
12,56.3320,63.9280,67.6440,69.5640,70.6020,71.8140,76.0940,79.2580
13,57.0780,63.7960,67.4960,69.5900,70.8140,72.2280,76.8820,79.5440
14,58.2680,63.2520,66.8020,69.7720,70.1600,72.3640,77.3260,79.7840
15,54.5120,63.7340,66.2100,69.2080,70.9160,72.1920,77.9620,79.7620
16,58.2540,64.2520,67.5220,70.1940,70.8880,72.8680,78.4180,nan
17,56.2860,64.6220,67.5400,70.0040,70.9820,73.0260,78.8920,nan
18,58.9820,64.0760,67.4720,69.6420,70.1380,72.8020,79.0660,nan
19,59.5840,65.5120,67.8500,70.3760,71.1480,73.8160,79.2960,nan
20,58.1800,64.7720,68.1860,70.1420,71.7280,73.8460,79.2640,nan
21,58.9620,64.9700,66.9980,70.2420,71.6980,74.3620,nan,nan
22,60.1620,66.0820,68.0760,71.1300,71.4940,74.5840,nan,nan
23,59.3240,65.3580,68.3080,70.0560,71.7240,75.2380,nan,nan
24,60.4500,66.7300,68.5340,71.1920,72.0840,74.9840,nan,nan
25,59.3540,66.2320,69.0520,71.8480,72.7080,76.2160,nan,nan
