epoch,n1,n2,n3,n4,n5,n6,n7
1,29.9000,54.8840,62.8120,64.3860,67.1780,63.9200,67.8660
2,40.7620,56.2260,60.1880,61.3980,62.6320,66.4600,64.7080
3,46.5280,55.7320,60.0560,63.5340,65.1800,68.4060,66.4000
4,49.7540,56.8040,63.2960,65.5560,67.3660,69.1940,67.9080
5,50.9640,60.7780,64.7120,66.6460,67.4680,70.5300,68.9200
6,52.6960,61.5280,65.4820,66.8480,68.9880,70.7020,69.8420
7,55.8040,62.3360,65.9840,67.1420,69.0380,71.6440,69.9320
8,55.2740,63.6260,66.0760,67.7820,70.3480,73.1300,70.6600
9,57.0400,63.9720,65.5540,67.9840,70.9560,73.9480,70.9700
10,56.9840,64.3640,66.9820,68.1100,71.7340,74.7620,71.9600
11,58.5940,64.6580,66.6860,68.8200,72.1460,76.0580,72.8980
12,58.5440,64.4860,66.9780,68.8280,73.2260,76.5460,73.6380
13,59.0560,65.2440,65.4640,69.5380,73.9420,76.9320,74.2720
14,59.9300,65.5880,67.7240,69.7480,74.3720,77.3360,74.9520
15,59.7160,65.0880,67.6820,69.7180,75.4120,77.3520,75.7700
16,59.1740,65.7260,67.0800,69.0580,76.0340,nan,76.5080
17,59.6220,66.4800,68.3980,70.2500,76.5360,nan,76.8100
18,60.0160,65.7980,67.9660,69.7980,76.8460,nan,77.2540
19,61.2700,65.3360,68.5520,71.4840,77.1120,nan,77.3800
20,61.0900,65.7200,68.5360,71.6420,77.1740,nan,77.3920
21,60.1840,65.5720,68.0880,71.6880,nan,nan,nan
22,61.3000,65.9820,69.1940,72.2080,nan,nan,nan
23,62.0080,67.0720,69.3600,72.4080,nan,nan,nan
24,61.1600,66.9580,69.8800,72.7480,nan,nan,nan
25,61.5480,66.4340,69.2700,73.6360,nan,nan,nan
26,60.8780,66.6540,69.3900,73.4680,nan,nan,nan
27,61.3500,67.5480,70.0000,74.4100,nan,nan,nan
28,62.1720,67.7240,70.3040,74.5620,nan,nan,nan
29,62.3660,67.8020,70.3120,74.9720,nan,nan,nan
30,63.3180,68.7740,70.9400,75.3960,nan,nan,nan
31,62.4760,66.8820,70.9280,75.6200,nan,nan,nan
32,62.5760,68.3120,71.1560,75.8460,nan,nan,nan
33,63.4280,68.0100,70.8040,76.1600,nan,nan,nan
34,62.6980,68.3680,71.6000,76.5360,nan,nan,nan
35,63.6860,68.8260,71.9120,76.5440,nan,nan,nan
36,63.7960,69.1200,72.0640,76.7620,nan,nan,nan
37,63.5700,69.2660,72.3420,76.9660,nan,nan,nan
38,64.3660,68.8720,72.7760,76.9880,nan,nan,nan
39,63.1320,68.7820,72.5920,76.9800,nan,nan,nan
40,64.0920,69.8740,73.0780,77.0600,nan,nan,nan
41,64.0520,69.9720,73.5020,nan,nan,nan,nan
42,64.5000,69.9400,73.5160,nan,nan,nan,nan
43,65.0300,70.4020,73.9880,nan,nan,nan,nan
44,64.9440,70.1260,74.2480,nan,nan,nan,nan
45,64.5900,70.7980,74.4160,nan,nan,nan,nan
46,65.2460,71.2100,74.8740,nan,nan,nan,nan
47,65.6200,71.2800,74.9300,nan,nan,nan,nan
48,64.8020,71.5060,75.1900,nan,nan,nan,nan
49,65.8320,71.8200,75.3960,nan,nan,nan,nan
50,66.0580,72.0420,75.6400,nan,nan,nan,nan
51,66.2420,72.1400,75.9620,nan,nan,nan,nan
52,66.4520,72.3080,76.1360,nan,nan,nan,nan
53,66.8880,72.5140,76.2020,nan,nan,nan,nan
54,66.1360,72.7280,76.3720,nan,nan,nan,nan
55,67.2480,72.8240,76.5300,nan,nan,nan,nan
56,67.2600,73.2940,76.5800,nan,nan,nan,nan
57,66.8920,73.7620,76.6920,nan,nan,nan,nan
58,68.0200,73.6260,76.6720,nan,nan,nan,nan
59,68.1860,74.0840,76.6940,nan,nan,nan,nan
60,68.5380,74.4140,76.6920,nan,nan,nan,nan
61,68.5900,74.2920,nan,nan,nan,nan,nan
62,68.5240,74.5180,nan,nan,nan,nan,nan
63,69.0940,74.7960,nan,nan,nan,nan,nan
64,69.4420,74.9040,nan,nan,nan,nan,nan
65,69.3500,75.1200,nan,nan,nan,nan,nan
66,69.6260,75.2560,nan,nan,nan,nan,nan
67,69.7680,75.5760,nan,nan,nan,nan,nan
68,70.0800,75.5180,nan,nan,nan,nan,nan
69,70.3760,75.6000,nan,nan,nan,nan,nan
70,70.3600,75.7300,nan,nan,nan,nan,nan
71,70.6320,75.7860,nan,nan,nan,nan,nan
72,70.6900,75.9020,nan,nan,nan,nan,nan
73,70.9160,75.9120,nan,nan,nan,nan,nan
74,71.2360,75.9120,nan,nan,nan,nan,nan
75,71.3660,75.9360,nan,nan,nan,nan,nan
76,71.6080,nan,nan,nan,nan,nan,nan
77,71.6500,nan,nan,nan,nan,nan,nan
78,71.9500,nan,nan,nan,nan,nan,nan
79,72.0660,nan,nan,nan,nan,nan,nan
80,72.4000,nan,nan,nan,nan,nan,nan
81,72.2620,nan,nan,nan,nan,nan,nan
82,72.4100,nan,nan,nan,nan,nan,nan
83,72.6320,nan,nan,nan,nan,nan,nan
84,72.6520,nan,nan,nan,nan,nan,nan
85,72.6440,nan,nan,nan,nan,nan,nan
86,72.7280,nan,nan,nan,nan,nan,nan
87,72.8340,nan,nan,nan,nan,nan,nan
88,72.8200,nan,nan,nan,nan,nan,nan
89,72.8860,nan,nan,nan,nan,nan,nan
90,72.8380,nan,nan,nan,nan,nan,nan
