epoch,p68,p86
1,59.9140,22.4900
2,64.5080,44.0080
3,67.6280,53.2080
4,68.2780,56.5700
5,69.1480,60.1180
6,70.3440,62.2000
7,70.0120,63.8020
8,70.4720,64.1300
9,70.1880,64.8220
10,70.6140,64.3520
11,71.3420,65.6340
12,71.2060,65.0900
13,71.1160,65.7260
14,71.4880,66.1260
15,71.8400,66.2360
16,71.7780,66.1880
17,72.2560,66.5340
18,71.4760,66.6920
19,72.8120,66.9020
20,73.1040,67.1260
21,73.2500,66.9520
22,74.0540,67.7540
23,74.1520,68.0720
24,74.2840,68.0560
25,74.9560,68.3440
26,75.1040,68.5140
27,75.4660,68.8820
28,75.7200,68.6000
29,76.2900,68.8480
30,76.5560,69.7640
31,76.8020,68.8540
32,77.0860,69.2920
33,77.2160,69.5220
34,77.6700,69.5240
35,77.6720,70.0880
36,77.8360,70.2800
37,77.8840,70.5300
38,78.0420,70.4720
39,77.9260,70.2660
40,77.9940,70.6560
41,nan,70.7880
42,nan,71.0020
43,nan,71.3060
44,nan,71.4500
45,nan,71.5160
46,nan,71.9020
47,nan,72.4380
48,nan,72.6220
49,nan,72.7440
50,nan,72.7740
51,nan,73.0460
52,nan,73.1000
53,nan,73.5680
54,nan,73.5360
55,nan,74.0120
56,nan,73.9220
57,nan,74.3780
58,nan,74.5280
59,nan,74.6200
60,nan,75.0500
61,nan,74.8280
62,nan,75.2520
63,nan,75.1980
64,nan,75.4540
65,nan,75.6360
66,nan,75.7120
67,nan,75.7660
68,nan,75.8920
69,nan,75.9920
70,nan,76.0600
71,nan,76.1020
72,nan,76.1680
73,nan,76.2380
74,nan,76.2180
75,nan,76.2040
