epoch,p65,p84
1,54.0360,29.2080
2,56.2420,41.8540
3,61.2620,46.4200
4,62.3660,50.9260
5,63.6700,54.0840
6,64.6960,56.6520
7,65.4700,57.9500
8,64.9780,57.8360
9,65.9020,58.3720
10,66.2480,59.0740
11,66.8180,59.6800
12,66.8000,59.8040
13,67.1500,59.5660
14,66.9220,60.3760
15,67.3540,60.3300
16,67.6320,61.1300
17,67.9520,61.5140
18,68.2120,61.3800
19,68.9700,62.4060
20,68.9660,61.6280
21,69.6580,62.1320
22,70.2040,62.3940
23,70.7620,63.1060
24,70.7560,63.3880
25,71.1800,63.2900
26,71.5280,63.4000
27,71.8500,63.9600
28,72.5800,64.4720
29,72.7240,64.8940
30,73.1240,64.9840
31,73.3560,64.8320
32,73.7920,65.4600
33,73.8040,65.5600
34,74.4620,66.1700
35,74.6260,66.0120
36,74.7600,66.4760
37,74.9560,66.3960
38,74.9900,66.6440
39,74.9420,67.0520
40,75.0080,67.5940
41,nan,67.9880
42,nan,68.2260
43,nan,68.5760
44,nan,68.6080
45,nan,69.0660
46,nan,69.2880
47,nan,69.6120
48,nan,69.9300
49,nan,70.1240
50,nan,70.3120
51,nan,70.7020
52,nan,70.7640
53,nan,70.9560
54,nan,71.1240
55,nan,71.1460
56,nan,71.2600
57,nan,71.3560
58,nan,71.4120
59,nan,71.3420
60,nan,71.3880
