epoch,p45,p88
1,64.0640,29.9060
2,61.8660,40.9100
3,64.0240,46.5820
4,64.5200,48.9000
5,66.8480,52.7380
6,66.8680,54.4000
7,67.8660,56.6100
8,67.8360,56.1220
9,68.1960,58.0460
10,66.8500,58.1120
11,68.7000,59.4460
12,69.0400,59.3860
13,69.0340,58.8200
14,69.2900,59.8540
15,69.8200,60.0840
16,70.4320,60.2140
17,70.2020,60.9880
18,70.7820,60.8180
19,70.9820,61.3800
20,71.5840,60.7280
21,71.5760,61.7260
22,71.9720,61.2940
23,72.4600,62.1220
24,73.0520,62.3820
25,73.5860,62.3720
26,73.5520,61.6780
27,73.4620,63.2820
28,74.4840,62.8800
29,74.8360,63.4600
30,75.1500,63.8900
31,75.6460,63.1740
32,75.7880,64.2980
33,76.1140,62.8700
34,76.4640,63.9460
35,76.6260,64.7000
36,76.6220,64.9400
37,76.9240,64.8540
38,77.0260,63.6780
39,76.9420,64.9000
40,76.9360,65.7160
41,nan,65.7680
42,nan,66.4460
43,nan,66.3300
44,nan,66.2960
45,nan,66.4740
46,nan,66.6100
47,nan,67.2240
48,nan,67.7480
49,nan,67.9100
50,nan,68.1720
51,nan,68.5640
52,nan,68.6740
53,nan,68.8200
54,nan,69.1040
55,nan,69.6200
56,nan,69.7380
57,nan,70.2000
58,nan,70.2600
59,nan,70.4940
60,nan,70.6620
61,nan,70.8200
62,nan,71.1000
63,nan,71.3820
64,nan,71.7460
65,nan,71.9860
66,nan,72.0940
67,nan,72.1760
68,nan,72.2580
69,nan,72.3380
70,nan,72.4480
71,nan,72.5360
72,nan,72.5620
73,nan,72.6920
74,nan,72.6340
75,nan,72.6560
