x,y
56.1130,80.600
56.2040,80.600
56.2280,80.600
56.2870,80.600
56.3520,80.600
57.3770,80.600
57.4370,80.600
57.5370,80.600
58.6650,80.600
58.7190,80.600
59.8340,80.600
59.8930,80.600
59.9420,80.600
61.2160,80.600
63.5060,80.600
63.7020,80.600
63.7830,80.600
65.1220,80.600
69.1580,80.600
69.3510,80.600
74.5310,80.600
70.5380,78.860
70.9130,78.860
71.1990,78.860
71.5260,78.860
71.7410,78.860
69.7410,78.860
70.0060,78.860
70.3880,78.860
68.8160,78.860
69.3850,78.860
71.3330,78.860
71.6550,78.860
71.9200,78.860
70.6210,78.860
72.2050,78.860
70.6730,78.860
71.1120,78.860
70.0630,78.860
74.3450,78.860
74.7370,78.860
75.7220,78.860
73.9320,78.860
80.8790,79.200
80.9000,79.200
80.9310,79.200
80.9020,79.200
80.9020,79.200
83.0260,79.200
83.0390,79.200
83.0380,79.200
85.0410,79.200
85.0670,79.200
86.4240,79.200
86.4040,79.200
86.3450,79.200
88.0380,79.200
92.0900,79.200
91.3970,79.200
91.3470,79.200
92.5500,79.200
99.6290,79.200
100.9270,79.200
100.5940,79.200
92.7040,78.540
91.6910,78.540
90.6730,78.540
89.5280,78.540
88.5400,78.540
94.1110,78.540
92.9630,78.540
91.9300,78.540
95.4350,78.540
94.7360,78.540
97.6510,78.540
96.8280,78.540
95.6150,78.540
99.2330,78.540
103.3200,78.540
107.1900,78.540
106.0320,78.540
108.8160,78.540
118.0790,78.540
116.8830,78.540
119.5620,78.540
124.8680,77.220
126.3770,77.220
127.7690,77.220
129.2190,77.220
130.2440,77.220
134.9760,77.220
136.7980,77.220
137.9970,77.220
145.9110,77.220
146.5180,77.220
142.6420,77.220
144.3900,77.220
145.3220,77.220
153.1140,77.220
158.8280,77.220
153.0370,77.220
153.6580,77.220
144.2470,77.220
146.6710,77.220
139.5400,77.220
127.1940,77.220
172.1380,76.700
174.5260,76.700
175.9260,76.700
177.5040,76.700
179.1540,76.700
186.9980,76.700
189.1360,76.700
190.8880,76.700
201.4600,76.700
203.2750,76.700
194.7980,76.700
195.1770,76.700
198.0750,76.700
210.0630,76.700
181.7830,76.700
184.4490,76.700
198.9430,76.700
172.6970,76.700
175.9770,76.700
163.8950,76.700
123.3330,76.700
243.4830,76.200
239.6350,76.200
234.6850,76.200
229.4540,76.200
224.9760,76.200
246.7240,76.200
242.3110,76.200
237.1450,76.200
245.7820,76.200
233.2700,76.200
228.5250,76.200
223.5230,76.200
236.3200,76.200
219.7350,76.200
216.0160,76.200
212.9050,76.200
221.2640,76.200
198.6420,76.200
195.5780,76.200
166.3130,76.200
137.0000,76.200
411.7800,74.400
411.3480,74.400
406.9530,74.400
401.6920,74.400
395.5920,74.400
385.1030,74.400
384.0830,74.400
377.8080,74.400
358.9590,74.400
353.8120,74.400
347.0380,74.400
345.1340,74.400
343.6420,74.400
319.0140,74.400
279.1820,74.400
309.0440,74.400
306.8910,74.400
278.4440,74.400
241.4280,74.400
238.5270,74.400
194.3420,74.400
140.4200,74.400
1024.7350,70.180
881.0340,70.180
722.9900,70.180
565.7810,70.180
904.9620,70.180
760.9600,70.180
613.3090,70.180
639.9850,70.180
490.0440,70.180
772.0020,70.180
626.1720,70.180
470.9690,70.180
507.9730,70.180
360.5860,70.180
639.3760,70.180
490.2630,70.180
373.4140,70.180
502.0870,70.180
350.8000,70.180
315.3990,70.180
172.7650,70.180
157.2050,76.400
159.3530,76.400
160.8520,76.400
162.6580,76.400
163.9580,76.400
171.8730,76.400
173.8560,76.400
176.1820,76.400
186.7580,76.400
189.1200,76.400
185.6950,76.400
189.1410,76.400
191.9900,76.400
202.8370,76.400
177.0950,76.400
178.1870,76.400
193.0630,76.400
167.8820,76.400
170.3440,76.400
155.6180,76.400
119.5380,76.400
423.5770,75.360
427.8270,75.360
430.2750,75.360
430.3160,75.360
389.1680,75.360
395.4530,75.360
398.2070,75.360
351.3170,75.360
358.0970,75.360
346.4640,75.360
350.5870,75.360
354.5600,75.360
310.4650,75.360
263.1920,75.360
303.0240,75.360
305.9350,75.360
266.2540,75.360
233.5010,75.360
237.8440,75.360
182.2950,75.360
124.6260,75.360
