x,y
75.3940,80.280
75.2510,80.280
75.2170,80.280
75.2590,80.280
75.2130,80.280
77.5270,80.280
77.5200,80.280
77.3820,80.280
79.7730,80.280
79.4500,80.280
79.8830,80.280
79.8700,80.280
79.8950,80.280
82.1350,80.280
84.2510,80.280
85.7260,80.280
85.5770,80.280
87.3520,80.280
93.5770,80.280
92.5490,80.280
95.0040,80.280
81.4960,78.780
80.6060,78.780
79.6550,78.780
78.7560,78.780
77.7640,78.780
79.7120,78.780
78.9590,78.780
77.9730,78.780
78.1330,78.780
77.2820,78.780
84.1970,78.780
83.3080,78.780
82.4150,78.780
82.5640,78.780
86.9950,78.780
87.5190,78.780
86.3080,78.780
85.9330,78.780
97.4590,78.780
97.1740,78.780
100.9990,78.780
98.9370,78.720
97.1860,78.720
95.7000,78.720
93.9510,78.720
92.5400,78.720
97.6420,78.720
96.3070,78.720
94.6720,78.720
96.6160,78.720
95.1260,78.720
101.5310,78.720
100.1520,78.720
98.4670,78.720
100.6760,78.720
104.9830,78.720
113.6130,78.720
112.6650,78.720
113.2120,78.720
118.1160,78.720
116.6980,78.720
113.5000,78.720
112.9020,78.320
111.8580,78.320
110.6050,78.320
109.6250,78.320
108.4760,78.320
116.3770,78.320
114.8500,78.320
113.6360,78.320
119.3230,78.320
118.9780,78.320
123.4850,78.320
122.6780,78.320
121.2920,78.320
127.0760,78.320
135.2000,78.320
124.1260,78.320
122.8630,78.320
127.7490,78.320
133.0080,78.320
132.7710,78.320
126.1810,78.320
111.3010,78.320
136.6520,78.340
137.1730,78.340
137.5510,78.340
137.4570,78.340
137.5550,78.340
144.3300,78.340
144.8860,78.340
145.3640,78.340
152.2730,78.340
153.2000,78.340
165.1130,78.340
165.0820,78.340
165.4960,78.340
173.3020,78.340
179.9660,78.340
180.5780,78.340
189.0400,78.340
163.4250,78.340
164.7630,78.340
152.7790,78.340
136.4870,78.340
177.2340,77.760
178.3250,77.760
179.2730,77.760
180.2470,77.760
182.0710,77.760
200.8500,77.760
200.8790,77.760
203.3400,77.760
227.3440,77.760
225.6210,77.760
216.2100,77.760
217.7820,77.760
219.5470,77.760
242.2260,77.760
201.1740,77.760
204.2740,77.760
229.8740,77.760
176.1380,77.760
178.4850,77.760
161.3440,77.760
144.0760,77.760
255.9970,77.680
260.1050,77.680
264.3190,77.680
267.8390,77.680
269.8420,77.680
270.1880,77.680
273.9710,77.680
279.1600,77.680
284.0500,77.680
243.4030,77.680
248.2010,77.680
253.2190,77.680
258.1200,77.680
232.8150,77.680
219.1810,77.680
222.7580,77.680
235.0730,77.680
170.4300,77.680
175.4210,77.680
139.8390,77.680
101.3980,77.680
420.3240,75.380
440.4840,75.380
458.4010,75.380
474.0970,75.380
409.8760,75.380
431.1880,75.380
448.4990,75.380
397.6610,75.380
418.8550,75.380
354.4440,75.380
375.8860,75.380
393.3500,75.380
343.6200,75.380
287.8660,75.380
313.4660,75.380
333.5220,75.380
301.5070,75.380
240.5350,75.380
259.1860,75.380
180.5080,75.380
129.8980,75.380
1035.0070,71.340
917.2700,71.340
785.4450,71.340
656.2390,71.340
912.6410,71.340
800.0290,71.340
672.3100,71.340
661.4590,71.340
542.6090,71.340
746.5980,71.340
623.2390,71.340
498.2510,71.340
504.5530,71.340
340.8950,71.340
597.4300,71.340
476.5480,71.340
353.4890,71.340
447.5660,71.340
322.3600,71.340
309.0460,71.340
185.0650,71.340
178.2500,77.800
180.1230,77.800
182.1880,77.800
183.2460,77.800
185.6270,77.800
194.2240,77.800
196.4730,77.800
198.7240,77.800
209.6700,77.800
213.8310,77.800
209.5790,77.800
209.8150,77.800
212.4550,77.800
225.4060,77.800
190.2550,77.800
191.2120,77.800
208.7530,77.800
177.3330,77.800
179.5380,77.800
142.5750,77.800
126.2710,77.800
1073.1160,70.040
974.1120,70.040
865.1340,70.040
754.8990,70.040
637.9310,70.040
845.0610,70.040
739.2640,70.040
627.9160,70.040
601.5540,70.040
492.3470,70.040
682.8440,70.040
576.2750,70.040
466.8240,70.040
448.1080,70.040
282.6740,70.040
542.9300,70.040
433.0360,70.040
299.0450,70.040
412.5080,70.040
306.1310,70.040
294.1540,70.040
179.3300,70.040
