x,y
78.2530,74.660
80.7900,74.660
83.4370,74.660
85.8240,74.660
88.2250,74.660
86.9560,74.660
89.4730,74.660
92.0250,74.660
95.5810,74.660
98.1760,74.660
104.9390,74.660
107.6350,74.660
109.6360,74.660
113.6850,74.660
133.0150,74.660
141.5170,74.660
141.4800,74.660
150.1580,74.660
158.4040,74.660
161.2640,74.660
149.8430,74.660
139.8420,74.660
83.4040,76.040
86.3460,76.040
89.2720,76.040
92.2440,76.040
95.2600,76.040
93.6310,76.040
96.5410,76.040
99.4900,76.040
103.8730,76.040
107.0430,76.040
108.0230,76.040
111.0900,76.040
113.9500,76.040
118.0990,76.040
133.3830,76.040
137.8410,76.040
140.4570,76.040
146.4670,76.040
212.9200,76.040
151.1470,76.040
210.4050,76.040
92.8750,75.420
95.3270,75.420
97.8080,75.420
100.1840,75.420
102.8360,75.420
103.9500,75.420
106.4940,75.420
108.8390,75.420
114.9780,75.420
116.4860,75.420
125.8580,75.420
128.2950,75.420
130.7050,75.420
136.6350,75.420
158.5550,75.420
175.7120,75.420
178.7260,75.420
186.3050,75.420
161.4660,75.420
165.6260,75.420
204.5350,75.420
139.3190,75.420
104.5820,75.800
107.8240,75.800
110.9700,75.800
114.3240,75.800
117.1770,75.800
121.2920,75.800
124.6600,75.800
127.7930,75.800
137.8370,75.800
141.6970,75.800
149.8180,75.800
152.4490,75.800
156.2050,75.800
166.8260,75.800
196.3950,75.800
217.0680,75.800
219.2670,75.800
218.6060,75.800
222.1690,75.800
220.4280,75.800
214.6230,75.800
136.1610,75.520
142.1400,75.520
148.3070,75.520
154.2690,75.520
160.3790,75.520
168.4720,75.520
174.6590,75.520
180.6940,75.520
201.5390,75.520
207.3380,75.520
240.2570,75.520
242.4480,75.520
249.8380,75.520
271.5780,75.520
234.3520,75.520
240.7090,75.520
267.9680,75.520
233.8630,75.520
240.7050,75.520
242.4700,75.520
222.7410,75.520
189.2380,75.060
208.7830,75.060
228.2360,75.060
247.6510,75.060
267.8020,75.060
287.7400,75.060
308.5740,75.060
329.7240,75.060
395.0130,75.060
281.9410,75.060
304.0520,75.060
323.7300,75.060
383.7900,75.060
376.1180,75.060
273.9810,75.060
293.6330,75.060
373.5010,75.060
268.0050,75.060
289.3590,75.060
244.9810,75.060
245.1040,75.060
354.8730,74.940
426.6100,74.940
497.3360,74.940
566.8890,74.940
431.6150,74.940
505.1340,74.940
574.2240,74.940
498.7640,74.940
569.2430,74.940
407.7600,74.940
479.1950,74.940
549.7170,74.940
473.9570,74.940
442.3040,74.940
390.8020,74.940
458.6370,74.940
457.0100,74.940
364.3480,74.940
439.3070,74.940
321.8250,74.940
283.7900,74.940
1337.4990,71.320
1190.6130,71.320
1033.4530,71.320
874.1910,71.320
1183.1160,71.320
1038.5520,71.320
884.1390,71.320
877.6680,71.320
726.7460,71.320
1022.0030,71.320
873.0590,71.320
711.9440,71.320
708.0290,71.320
554.4510,71.320
849.8650,71.320
694.9340,71.320
530.6010,71.320
676.3250,71.320
515.2270,71.320
486.1060,71.320
305.6840,71.320
143.2100,74.480
147.3950,74.480
151.4250,74.480
155.7540,74.480
159.6770,74.480
165.2550,74.480
169.4800,74.480
173.1260,74.480
188.6500,74.480
192.1400,74.480
201.6730,74.480
207.4100,74.480
212.1060,74.480
226.1120,74.480
260.3650,74.480
203.7740,74.480
209.0440,74.480
228.3120,74.480
210.8740,74.480
212.4190,74.480
201.4170,74.480
199.3840,74.480
1450.3360,70.580
1282.9810,70.580
1117.2870,70.580
940.2830,70.580
1287.3050,70.580
1129.2200,70.580
967.5870,70.580
960.9410,70.580
790.1480,70.580
1128.2630,70.580
966.4580,70.580
793.9330,70.580
795.5670,70.580
605.3870,70.580
951.9110,70.580
789.4950,70.580
609.9320,70.580
758.1670,70.580
586.1510,70.580
570.0120,70.580
356.3620,70.580
