magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
0.0000,77.0200,0.0000,77.0200,0.0000,77.0200,0.0000,77.0200,0.0000,77.0200,0.0000,77.0200,0.0000,77.0200
10.0155,77.5600,10.0288,77.2400,10.0632,77.4400,10.0090,77.4200,10.0251,77.4000,10.0112,77.4500,10.0139,77.6500
20.0430,77.5800,20.0707,76.8200,20.0659,77.3200,20.0766,77.1200,20.0281,77.0400,20.0305,77.2300,20.0730,77.5400
30.1093,76.7800,30.0470,76.4100,30.0957,76.7700,30.0901,77.0800,30.1426,77.1900,30.1636,77.2300,30.0775,76.8100
40.0392,75.9800,40.1234,75.6900,40.0978,76.0400,40.0643,76.7000,40.1473,76.6900,40.0217,77.0300,40.1728,76.4500
50.0302,75.3000,50.1766,75.1900,50.1509,75.4300,50.0957,76.0700,50.0947,76.0900,50.0609,76.3000,50.0962,76.7200
60.0214,73.5400,60.2198,73.8000,60.0791,74.2900,60.1038,73.1100,60.2847,75.6500,60.0432,75.5200,60.1824,76.1200
70.1812,72.3600,70.0198,71.0800,70.0340,71.7600,70.1696,70.9400,70.0896,74.5700,70.2068,74.7500,70.0867,75.5000
80.2604,70.1200,80.0226,69.0200,80.2748,67.6000,80.0362,64.5600,80.1324,73.9600,80.1344,73.4600,80.1311,75.0100
90.1161,65.8900,90.1827,63.7800,90.0286,63.1500,90.0433,63.1700,90.0399,71.1000,90.0282,70.4200,90.1377,71.4500
