magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
0.0000,62.3800,0.0000,62.3800,0.0000,62.3800,0.0000,62.3800,0.0000,62.3800,0.0000,62.3800,0.0000,62.3800
10.0004,64.4700,9.6877,64.4100,6.8341,64.2100,13.5521,64.4000,34.7113,63.8300,,,10.0803,64.4400
19.9918,64.0600,19.7475,64.7800,20.0163,65.1400,25.8852,64.1600,34.7113,63.9800,,,20.1281,64.0000
30.0158,64.9900,30.0269,64.6800,29.9810,65.2100,30.4147,64.1600,34.7113,63.8400,,,30.1865,63.3500
40.1003,64.0500,40.0768,64.2000,37.0886,64.2300,38.8949,64.6400,39.7974,64.6000,,,40.1275,61.7900
50.0432,64.6900,50.0087,64.0800,44.3289,64.6400,60.9610,64.3000,50.0197,64.9600,,,50.1410,61.0900
60.0710,64.1200,60.0486,64.4200,55.9176,64.4200,60.9610,64.6300,60.0481,64.5700,,,60.3828,58.9900
70.2105,64.6600,70.7034,63.9400,70.2594,64.3400,70.0808,64.8500,70.2411,64.6000,,,70.1799,56.3400
80.2239,64.8300,80.3072,64.0900,80.2633,63.9800,80.1380,64.3600,80.2309,64.1300,,,,
90.1064,51.7600,90.1253,55.8200,90.2019,59.0900,90.1049,55.7500,90.0843,61.9400,,,90.2035,40.0600
