magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
0.0000,76.5500,0.0000,76.5500,0.0000,76.5500,0.0000,76.5500,0.0000,76.5500,0.0000,76.5500,0.0000,76.5500
7.7349,76.6700,7.7353,76.4600,10.0309,76.8300,10.0467,76.5700,10.0448,77.0400,10.0491,76.8400,10.0519,76.5700
19.5825,75.9000,19.8889,75.6400,20.0717,76.0800,20.1793,76.4800,20.0908,76.5600,20.0692,76.5700,20.1134,76.4900
30.0196,74.4600,30.0782,74.9200,30.0846,75.8700,30.0453,75.5100,30.0508,76.2900,30.0659,76.5500,30.0425,76.4500
40.0302,72.9600,40.1235,73.6600,40.1408,74.7000,40.1127,75.2500,40.0467,76.4800,40.0887,75.9700,40.1403,76.0800
50.0958,71.4900,50.1419,73.8300,50.1317,74.6200,50.0301,73.2000,50.0854,76.1500,50.1706,75.5400,50.0363,75.7800
60.2464,69.1200,60.1129,69.4800,60.1120,73.3600,60.0411,71.4900,60.1411,75.6100,60.0912,75.7100,60.0735,75.6300
70.0653,67.8800,70.0685,67.9700,70.0789,71.5600,70.0113,69.7600,70.1135,75.0700,70.1070,74.9600,70.0731,74.2500
80.0664,66.1500,80.0257,66.3000,80.0730,67.8700,80.0949,66.8900,80.0378,73.8400,80.0771,74.0800,80.1071,73.3000
90.1140,62.2400,90.1578,62.9400,90.0972,63.4600,90.0726,61.2300,90.1277,72.8400,90.0381,72.2600,90.1453,68.7300
