magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
0.0000,50.2100,0.0000,50.2100,0.0000,50.2100,0.0000,50.2100,0.0000,50.2100,0.0000,50.2100,0.0000,50.2100
10.0004,54.6800,10.0132,53.4000,,,6.9264,53.5800,10.0039,54.2400,,,10.0679,53.1300
20.0152,54.2400,20.0583,54.6800,,,15.8917,54.1300,20.0172,53.1500,,,20.2119,53.9900
30.0608,52.1400,30.4850,52.9900,,,28.5524,53.3900,30.0227,52.7900,,,30.0284,53.6700
40.1385,52.0400,40.0816,51.8700,,,40.0868,53.3800,40.0495,52.4700,,,40.1014,50.5700
50.1681,50.6100,50.1186,51.2500,,,50.1120,51.8300,50.0716,53.4100,,,50.1552,52.0100
60.1388,48.8300,59.6401,46.1500,,,60.0089,49.7200,60.2145,53.1100,,,60.3776,46.5300
70.3823,46.3500,70.1248,39.8300,,,70.2451,42.0300,70.3130,51.3700,,,70.0216,36.4800
80.1845,35.2200,80.3516,26.7600,,,80.0347,29.6600,80.0850,40.9900,,,79.9999,1.0000
90.0588,1.0000,90.1821,1.0000,,,90.1039,1.0000,90.1372,27.8700,,,90.0353,1.0000
