magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
0.0000,73.1300,0.0000,73.1300,0.0000,73.1300,0.0000,73.1300,0.0000,73.1300,0.0000,73.1300,0.0000,73.1300
10.0529,74.0000,10.0730,73.5500,10.0211,73.5700,10.0708,73.7700,10.0752,73.5900,,,10.0450,73.8900
20.0721,73.5800,20.0904,73.7400,20.0377,73.6200,20.0723,73.2900,20.0904,74.0100,,,20.0124,73.1800
30.0196,74.0200,30.0112,73.8700,30.1178,73.2400,30.0345,73.3600,30.1343,73.5200,,,30.0193,73.2100
40.0698,73.7400,40.0559,73.7800,40.0766,73.9900,40.1011,73.3300,40.0984,73.6400,,,40.1333,72.7900
50.0264,73.8800,50.0683,73.1100,50.1955,72.9100,50.1408,73.5300,50.0145,72.5500,,,50.0713,72.0500
60.1100,73.6600,60.1026,73.3700,60.0502,73.0600,60.1172,73.0900,60.0957,72.7000,,,60.1752,71.1700
70.0501,72.8400,70.1329,73.0000,70.0614,72.6300,70.1176,72.7600,70.0334,71.8300,,,70.1649,71.0100
80.0438,72.4000,80.0460,72.2900,80.0597,72.4100,80.1783,72.3700,80.1608,70.0500,,,80.0138,69.7700
90.1461,70.7900,90.1353,69.7000,90.1333,68.3500,90.0672,60.1100,90.0724,65.8200,,,90.0908,63.5300
