magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
0.0000,80.4500,0.0000,80.4500,0.0000,80.4500,0.0000,80.4500,0.0000,80.4500,0.0000,80.4500,0.0000,80.4500
10.0072,80.7600,10.0107,80.7500,10.0134,80.7400,10.0273,80.7700,28.8139,80.7600,9.9213,80.6000,10.0058,80.4200
20.0397,80.5000,20.0192,80.5300,,,20.0200,80.6400,28.8139,80.6100,20.0164,81.0000,20.0202,80.5000
30.1155,80.4100,30.0501,80.5600,30.0618,80.7200,30.1126,80.4100,30.1447,80.7900,30.0307,81.1400,30.1121,80.4200
40.1785,80.3800,40.0317,80.5500,40.3037,80.4500,40.1716,80.5700,40.1200,80.3600,40.0626,80.3200,40.0390,79.7900
49.9995,78.5200,50.0745,80.1800,50.1563,80.5100,50.1016,80.6100,50.1977,80.4000,50.1985,80.1600,50.1086,80.0900
60.0881,73.9500,60.0528,80.1700,60.1509,80.0200,60.0486,79.8400,60.1941,80.2900,60.0051,80.1100,60.1546,79.4600
70.0857,72.6800,70.2738,79.0500,70.2190,79.6300,70.0045,79.2300,70.0085,80.3600,70.2489,80.2500,70.0163,79.1300
80.1554,71.1700,80.1506,78.6700,80.1143,76.8600,80.2980,78.3300,80.0732,79.2500,80.0829,79.3500,80.1152,77.8700
90.1539,67.5800,90.2888,72.0100,90.0050,72.6600,90.0703,75.6300,90.0220,78.1000,90.1037,77.4800,90.0962,75.9600
