magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000
10.0155,0.9226,10.0288,0.9408,10.0632,1.0436,10.0090,0.9693,10.0251,1.0239,10.0112,1.0410,10.0139,0.9643
20.0430,1.0885,20.0707,1.0930,20.0659,1.1017,20.0766,1.1003,20.0281,1.0022,20.0305,0.9580,20.0730,0.9153
30.1093,1.2712,30.0470,1.1931,30.0957,1.2207,30.0901,1.1261,30.1426,0.9896,30.1636,0.9469,30.0775,0.9803
40.0392,1.2515,40.1234,1.3868,40.0978,1.3277,40.0643,1.1940,40.1473,1.1424,40.0217,0.9985,40.1728,1.1162
50.0302,1.3843,50.1766,1.4382,50.1509,1.2862,50.0957,1.3587,50.0947,1.0231,50.0609,1.2618,50.0962,1.1599
60.0214,1.6372,60.2198,1.3496,60.0791,1.4463,60.1038,1.6586,60.2847,1.1288,60.0432,1.1642,60.1824,1.3379
70.1812,1.8533,70.0198,1.8010,70.0340,1.6244,70.1696,1.7827,70.0896,1.2566,70.2068,1.3997,70.0867,1.4513
80.2604,2.0348,80.0226,1.9828,80.2748,1.9415,80.0362,1.9445,80.1324,1.2454,80.1344,1.3762,80.1311,1.5397
90.1161,2.1721,90.1827,2.2081,90.0286,2.1914,90.0433,2.1897,90.0399,1.6216,90.0282,1.7384,90.1377,1.9677
