magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000
10.0004,1.0667,9.6877,1.0614,6.8341,1.0727,13.5521,1.0517,34.7113,1.2351,,,10.0803,0.9889
19.9918,1.1373,19.7475,1.1023,20.0163,1.1378,25.8852,1.1119,34.7113,1.2364,,,20.1281,1.0358
30.0158,1.1906,30.0269,1.1933,29.9810,1.2204,30.4147,1.1350,34.7113,1.2299,,,30.1865,1.0732
40.1003,1.2755,40.0768,1.2541,37.0886,1.2841,38.8949,1.2380,39.7974,1.2836,,,40.1275,1.0750
50.0432,1.3588,50.0087,1.3284,44.3289,1.3702,60.9610,1.3731,50.0197,1.3613,,,50.1410,1.1902
60.0710,1.4281,60.0486,1.4339,55.9176,1.4606,60.9610,1.3711,60.0481,1.4284,,,60.3828,1.2545
70.2105,1.5486,70.7034,1.5592,70.2594,1.5529,70.0808,1.5573,70.2411,1.5814,,,70.1799,1.3479
80.2239,1.6062,80.3072,1.5857,80.2633,1.6081,80.1380,1.6051,80.2309,1.6238,,,,
90.1064,1.7626,90.1253,1.7373,90.2019,1.7034,90.1049,1.8063,90.0843,1.6933,,,90.2035,1.6466
