magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000
7.7349,1.2044,7.7353,1.2027,10.0309,1.1949,10.0467,1.1651,10.0448,1.1895,10.0491,1.1915,10.0519,1.1415
19.5825,1.7524,19.8889,1.7559,20.0717,1.6385,20.1793,1.9129,20.0908,1.8168,20.0692,1.6430,20.1134,1.4380
30.0196,3.3441,30.0782,5.0912,30.0846,3.1806,30.0453,5.8979,30.0508,4.0761,30.0659,3.2038,30.0425,4.0735
40.0302,10.7213,40.1235,10.3684,40.1408,9.6383,40.1127,10.5311,40.0467,8.3688,40.0887,8.6945,40.1403,8.0736
50.0958,11.7209,50.1419,11.6668,50.1317,10.1655,50.0301,11.2918,50.0854,8.9041,50.1706,9.2375,50.0363,8.8876
60.2464,13.1477,60.1129,13.1025,60.1120,12.0164,60.0411,13.1708,60.1411,9.6751,60.0912,9.7769,60.0735,9.5573
70.0653,14.8110,70.0685,14.5321,70.0789,13.2652,70.0113,14.1464,70.1135,10.5976,70.1070,10.8014,70.0731,10.8720
80.0664,16.2954,80.0257,16.4219,80.0730,15.0952,80.0949,16.5537,80.0378,11.7865,80.0771,12.1548,80.1071,12.9497
90.1140,18.3460,90.1578,18.8872,90.0972,18.2299,90.0726,18.4604,90.1277,13.6454,90.0381,14.6010,90.1453,16.4895
