magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000
10.0004,0.9839,10.0132,0.9708,,,6.9264,1.0075,10.0039,0.9595,,,10.0679,0.9796
20.0152,1.0318,20.0583,1.0001,,,15.8917,1.0473,20.0172,1.0189,,,20.2119,0.9636
30.0608,1.0539,30.4850,1.0581,,,28.5524,1.0562,30.0227,1.0116,,,30.0284,1.0270
40.1385,1.0749,40.0816,1.0745,,,40.0868,1.0446,40.0495,1.0565,,,40.1014,1.0334
50.1681,1.0889,50.1186,1.0793,,,50.1120,1.0863,50.0716,1.0526,,,50.1552,1.0300
60.1388,1.0917,59.6401,1.0876,,,60.0089,1.1174,60.2145,1.0667,,,60.3776,1.0687
70.3823,1.1395,70.1248,1.1343,,,70.2451,1.1414,70.3130,1.0543,,,70.0216,1.1062
80.1845,1.1232,80.3516,1.1624,,,80.0347,1.1653,80.0850,1.0872,,,79.9999,1.1226
90.0588,1.1437,90.1821,1.1800,,,90.1039,1.1677,90.1372,1.1101,,,90.0353,1.1730
