magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000
10.0529,1.1251,10.0730,1.1220,10.0211,1.1096,10.0708,1.1146,10.0752,1.1099,,,10.0450,1.0810
20.0721,1.3485,20.0904,1.3553,20.0377,1.3727,20.0723,1.3205,20.0904,1.3307,,,20.0124,1.1928
30.0196,1.7704,30.0112,1.7762,30.1178,1.6888,30.0345,1.7618,30.1343,1.6884,,,30.0193,1.6724
40.0698,2.4045,40.0559,2.4116,40.0766,2.3509,40.1011,2.5080,40.0984,2.3935,,,40.1333,2.0615
50.0264,3.8007,50.0683,4.1291,50.1955,4.2407,50.1408,3.8966,50.0145,3.4039,,,50.0713,3.8495
60.1100,18.9796,60.1026,13.4022,60.0502,13.5103,60.1172,14.3852,60.0957,14.8486,,,60.1752,7.9018
70.0501,37.6967,70.1329,37.8787,70.0614,37.7964,70.1176,38.9079,70.0334,39.4398,,,70.1649,38.3712
80.0438,44.4586,80.0460,45.9262,80.0597,45.0764,80.1783,46.7981,80.1608,47.8411,,,80.0138,49.0494
90.1461,58.5217,90.1353,58.0761,90.1333,58.9197,90.0672,64.3057,90.0724,60.6087,,,90.0908,61.3749
