magl1_x,magl1_y,magl2_x,magl2_y,bnscale_x,bnscale_y,fpgm_x,fpgm_y,taylor_x,taylor_y,obdc_x,obdc_y,random_x,random_y
0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000
10.0072,1.1102,10.0107,1.1251,10.0134,1.1044,10.0273,1.1332,28.8139,1.5241,9.9213,1.1177,10.0058,1.0636
20.0397,1.3019,20.0192,1.2949,,,20.0200,1.2560,28.8139,1.5229,20.0164,1.2919,20.0202,1.2522
30.1155,1.5250,30.0501,1.5240,30.0618,1.5271,30.1126,1.5357,30.1447,1.5343,30.0307,1.5276,30.1121,1.3883
40.1785,1.8695,40.0317,1.8617,40.3037,1.9046,40.1716,1.8618,40.1200,1.7795,40.0626,1.9179,40.0390,1.9061
49.9995,2.2922,50.0745,2.4168,50.1563,2.4733,50.1016,2.5856,50.1977,2.3627,50.1985,2.4443,50.1086,2.4113
60.0881,3.4032,60.0528,3.4709,60.1509,3.2893,60.0486,3.5989,60.1941,3.4941,60.0051,3.2304,60.1546,3.1340
70.0857,6.2244,70.2738,6.0700,70.2190,6.8418,70.0045,5.7147,70.0085,6.1345,70.2489,6.4855,70.0163,6.0426
80.1554,41.3688,80.1506,28.8380,80.1143,25.4130,80.2980,28.7531,80.0732,18.7423,80.0829,21.0829,80.1152,21.1447
90.1539,65.9648,90.2888,59.0245,90.0050,60.1313,90.0703,50.0640,90.0220,31.4240,90.1037,32.9055,90.0962,48.0176
